ação,timestamp,preço,btc,score_entrada,lucro_%,capital_atual,tempo_espera_h,alvo_atingido
compra,2024-08-22 09:45:00,6.477,154.39246564767637,3.0,,,,
venda,2024-08-22 10:15:00,6.557,,,1.24,1012.35,0.5,0%
compra,2024-08-22 12:15:00,6.522,155.22100540506196,3.0,,,,
venda,2024-08-22 13:15:00,6.56,,,0.58,1018.25,1.0,0%
compra,2024-08-22 13:45:00,6.524,156.07752842691698,3.0,,,,
venda,2024-08-22 16:45:00,6.562,,,0.58,1024.18,3.0,0%
compra,2024-08-22 16:55:00,6.564,156.0299728119179,3.0,,,,
venda,2024-08-22 18:35:00,6.598,,,0.52,1029.49,1.67,0%
compra,2024-08-22 19:20:00,6.568,156.7426553917531,4.0,,,,
venda,2024-08-23 06:50:00,6.625,,,0.87,1038.42,11.5,0%
compra,2024-08-23 08:30:00,6.618,156.90844544732005,3.0,,,,
venda,2024-08-23 17:45:00,6.681,,,0.95,1048.31,9.25,0%
compra,2024-08-23 17:50:00,6.684,156.83801975367223,3.0,,,,
venda,2024-08-23 18:55:00,6.723,,,0.58,1054.42,1.08,0%
compra,2024-08-23 19:10:00,6.724,156.81469464662973,3.0,,,,
venda,2024-08-23 19:20:00,6.764,,,0.59,1060.69,0.17,0%
compra,2024-08-23 19:45:00,6.733,157.53669903309128,3.0,,,,
venda,2024-08-23 20:20:00,6.767,,,0.5,1066.05,0.58,0%
compra,2024-08-23 20:25:00,6.79,157.003069566558,3.0,,,,
venda,2024-08-23 22:25:00,6.826,,,0.53,1071.7,2.0,0%
compra,2024-08-23 22:35:00,6.813,157.3026497668171,3.0,,,,
venda,2024-08-24 15:55:00,6.862,,,0.72,1079.41,17.33,0%
compra,2024-08-24 16:25:00,6.865,157.23390862343754,3.0,,,,
venda,2024-11-30 12:55:00,6.909,,,0.64,1086.33,2348.5,0%
compra,2024-11-30 13:30:00,6.988,155.4563644360804,3.0,,,,
venda,2024-12-04 04:50:00,7.094,,,1.52,1102.81,87.33,0%
compra,2024-12-04 05:00:00,7.167,153.87295232448088,3.0,,,,
