ação,timestamp,preço,btc,score_entrada,lucro_%,capital_atual,tempo_espera_h,alvo_atingido
compra,2024-01-01 00:05:00,42409.96,0.0023579366733663507,1.0,,,,
compra,2024-01-01 00:10:00,42488.0,0.0023536057239691207,1.0,,,,
compra,2024-01-01 00:20:00,42473.93,0.002354385384163886,1.0,,,,
compra,2024-01-01 00:35:00,42447.82,0.002355833585800166,1.0,,,,
compra,2024-01-01 00:50:00,42459.55,0.0023551827562939315,1.0,,,,
compra,2024-01-01 00:55:00,42475.23,0.0023543133256723977,1.0,,,,
compra,2024-01-01 01:05:00,42436.8,0.0023564453493194583,1.0,,,,
compra,2024-01-01 01:10:00,42466.33,0.002354806737478845,1.0,,,,
compra,2024-01-01 01:15:00,42493.61,0.002353295001295489,1.0,,,,
compra,2024-01-01 01:25:00,42493.16,0.0023533199225475344,1.0,,,,
venda,2024-01-01 01:35:00,42717.52,,,0.73,1100.73,1.5,0.5%
venda,2024-01-01 01:35:00,42717.52,,,0.54,1201.27,1.42,0.5%
venda,2024-01-01 01:35:00,42717.52,,,0.57,1301.84,1.25,0.5%
venda,2024-01-01 01:35:00,42717.52,,,0.64,1402.47,1.0,0.5%
venda,2024-01-01 01:35:00,42717.52,,,0.61,1503.08,0.75,0.5%
venda,2024-01-01 01:35:00,42717.52,,,0.57,1603.65,0.67,0.5%
venda,2024-01-01 01:35:00,42717.52,,,0.66,1704.31,0.5,0.5%
venda,2024-01-01 01:35:00,42717.52,,,0.59,1804.91,0.42,0.5%
venda,2024-01-01 01:35:00,42717.52,,,0.53,1905.43,0.33,0.5%
venda,2024-01-01 01:35:00,42717.52,,,0.53,2005.96,0.17,0.5%
compra,2024-01-01 01:40:00,42697.5,0.002342057497511564,1.0,,,,
compra,2024-01-01 01:45:00,42698.01,0.002342029523155763,2.0,,,,
compra,2024-01-01 02:00:00,42563.79,0.0023494148429921303,1.0,,,,
compra,2024-01-01 02:10:00,42556.63,0.002349810123592963,1.0,,,,
compra,2024-01-01 02:20:00,42546.0,0.002350397217129695,1.0,,,,
compra,2024-01-01 02:25:00,42546.01,0.0023503966646931168,1.0,,,,
compra,2024-01-01 02:30:00,42606.25,0.002347073492738741,1.0,,,,
compra,2024-01-01 02:50:00,42566.22,0.0023492807207217367,1.0,,,,
compra,2024-01-01 02:55:00,42581.1,0.0023484597626646565,1.0,,,,
compra,2024-01-01 03:15:00,42466.0,0.002354825036499788,1.0,,,,
venda,2024-01-01 09:35:00,42691.52,,,0.53,2106.49,6.33,0.5%
compra,2024-01-01 09:40:00,42639.02,0.0023452696614509436,2.0,,,,
venda,2024-01-01 12:35:00,42777.76,,,0.5,2206.99,10.58,0.5%
venda,2024-01-01 12:35:00,42777.76,,,0.52,2307.51,10.42,0.5%
venda,2024-01-01 12:35:00,42777.76,,,0.54,2408.06,10.25,0.5%
venda,2024-01-01 12:35:00,42777.76,,,0.54,2508.6,10.17,0.5%
compra,2024-01-01 12:40:00,42755.76,0.002338866155109861,2.0,,,,
compra,2024-01-01 12:45:00,42713.3,0.0023411911512339245,2.0,,,,
compra,2024-01-01 12:50:00,42683.99,0.002342798787086212,2.0,,,,
compra,2024-01-01 12:55:00,42648.38,0.0023447549473157013,2.0,,,,
venda,2024-01-01 15:40:00,42845.96,,,0.56,2609.17,13.17,0.5%
venda,2024-01-01 15:40:00,42845.96,,,0.66,2709.82,12.83,0.5%
venda,2024-01-01 15:40:00,42845.96,,,0.62,2810.44,12.75,0.5%
compra,2024-01-01 15:45:00,42766.01,0.002338305584271247,2.0,,,,
compra,2024-01-01 15:50:00,42787.22,0.002337146465697,3.0,,,,
compra,2024-01-01 15:55:00,42783.05,0.0023373742638731925,2.0,,,,
venda,2024-01-01 18:00:00,42950.24,,,0.59,2911.04,16.33,0.5%
venda,2024-01-01 18:00:00,42950.24,,,0.59,3011.63,16.25,0.5%
venda,2024-01-01 18:00:00,42950.24,,,0.73,3112.36,8.33,0.5%
venda,2024-01-01 18:00:00,42950.24,,,0.55,3212.91,5.25,0.5%
venda,2024-01-01 18:00:00,42950.24,,,0.62,3313.54,5.17,0.5%
venda,2024-01-01 18:00:00,42950.24,,,0.71,3414.24,5.08,0.5%
compra,2024-01-01 18:05:00,43009.94,0.0023250439317050895,3.0,,,,
venda,2024-01-01 18:05:00,43009.94,,,0.59,3514.84,5.42,0.5%
venda,2024-01-01 18:05:00,43009.94,,,0.57,3615.41,2.33,0.5%
venda,2024-01-01 18:05:00,43009.94,,,0.52,3715.93,2.25,0.5%
venda,2024-01-01 18:05:00,43009.94,,,0.53,3816.46,2.17,0.5%
compra,2024-01-01 18:10:00,43104.16,0.0023199616927925284,3.0,,,,
compra,2024-01-01 18:15:00,43091.08,0.0023206659011563414,2.0,,,,
compra,2024-01-01 18:20:00,43119.23,0.0023191508753750934,3.0,,,,
compra,2024-01-01 18:25:00,43063.05,0.0023221764366434796,2.0,,,,
compra,2024-01-01 18:30:00,43048.0,0.0023229882921390077,1.0,,,,
compra,2024-01-01 18:35:00,43089.61,0.0023207450705634144,3.0,,,,
compra,2024-01-01 18:40:00,43152.11,0.002317383784941223,3.0,,,,
compra,2024-01-01 18:45:00,43137.51,0.0023181681093785893,1.0,,,,
compra,2024-01-01 18:50:00,43136.0,0.002318249258160237,1.0,,,,
venda,2024-01-01 19:25:00,43262.01,,,0.59,3917.05,1.33,0.5%
compra,2024-01-01 19:30:00,43368.0,0.0023058476295886366,3.0,,,,
venda,2024-01-01 19:30:00,43368.0,,,0.61,4017.66,1.33,0.5%
venda,2024-01-01 19:30:00,43368.0,,,0.64,4118.3,1.25,0.5%
venda,2024-01-01 19:30:00,43368.0,,,0.58,4218.88,1.17,0.5%
