ação,timestamp,preço,btc,score_entrada,lucro_%,capital_atual,tempo_espera_h,alvo_atingido
compra,2024-08-22 13:50:00,6.528,153.18627450980392,4.0,,,,
venda,2024-08-22 16:45:00,6.562,,,0.52,1005.21,2.92,0%
compra,2024-08-22 19:20:00,6.568,153.04633576938693,4.0,,,,
venda,2024-08-23 06:50:00,6.625,,,0.87,1013.93,11.5,0%
compra,2024-08-24 04:30:00,6.713,151.04006770031108,4.0,,,,
venda,2024-08-24 09:30:00,6.751,,,0.57,1019.67,5.0,0%
compra,2024-08-24 17:55:00,6.775,150.50501801399264,4.0,,,,
venda,2024-08-24 19:30:00,6.809,,,0.5,1024.79,1.58,0%
compra,2024-08-24 20:40:00,6.528,156.9835581582837,4.0,,,,
venda,2024-11-23 17:20:00,6.597,,,1.06,1035.62,2180.67,0%
compra,2024-11-23 18:25:00,6.403,161.73989273312475,4.0,,,,
venda,2024-11-23 18:35:00,6.441,,,0.59,1041.77,0.17,0%
compra,2024-11-23 18:50:00,6.397,162.85237597218327,4.0,,,,
venda,2024-11-23 22:05:00,6.451,,,0.84,1050.56,3.25,0%
compra,2024-11-23 23:50:00,6.332,165.91293073224168,4.0,,,,
venda,2024-11-24 00:05:00,6.392,,,0.95,1060.52,0.25,0%
compra,2024-11-24 04:50:00,6.419,165.21505736726732,4.0,,,,
venda,2024-11-24 05:10:00,6.462,,,0.67,1067.62,0.33,0%
compra,2024-11-24 08:45:00,6.297,169.54417988046396,4.0,,,,
venda,2024-11-27 07:50:00,6.333,,,0.57,1073.72,71.08,0%
compra,2024-11-27 12:30:00,6.155,174.44732594361955,4.0,,,,
venda,2024-11-27 12:45:00,6.192,,,0.6,1080.18,0.25,0%
compra,2024-11-27 20:00:00,6.412,168.46192174717595,4.0,,,,
venda,2024-11-28 01:50:00,6.445,,,0.51,1085.74,5.83,0%
compra,2024-11-28 03:00:00,6.354,170.87458068312074,4.0,,,,
venda,2024-11-28 11:30:00,6.413,,,0.93,1095.82,8.5,0%
compra,2024-11-28 15:55:00,6.455,169.76277086302917,4.0,,,,
venda,2024-11-28 16:00:00,6.512,,,0.88,1105.5,0.08,0%
compra,2024-11-28 18:35:00,6.399,172.76061319894453,4.0,,,,
venda,2024-11-28 18:45:00,6.454,,,0.86,1115.0,0.17,0%
compra,2024-11-29 14:30:00,6.46,172.60015442507552,4.0,,,,
venda,2024-11-29 15:05:00,6.508,,,0.74,1123.28,0.58,0%
compra,2024-11-30 05:25:00,6.512,172.49413467420015,4.0,,,,
venda,2024-11-30 06:05:00,6.545,,,0.51,1128.97,0.67,0%
compra,2024-11-30 14:35:00,6.771,166.73668755614236,4.0,,,,
venda,2024-11-30 15:05:00,6.806,,,0.52,1134.81,0.5,0%
compra,2024-11-30 16:50:00,6.781,167.35140768428033,4.0,,,,
venda,2024-11-30 17:40:00,6.83,,,0.72,1143.01,0.83,0%
compra,2024-11-30 22:35:00,6.859,166.64384232156797,4.0,,,,
venda,2024-12-01 14:55:00,6.905,,,0.67,1150.68,16.33,0%
compra,2024-12-01 19:10:00,6.91,166.5232606701052,4.0,,,,
venda,2024-12-04 00:30:00,6.956,,,0.67,1158.34,53.33,0%
compra,2024-12-04 08:35:00,7.072,163.79182709576526,4.0,,,,
venda,2024-12-04 09:10:00,7.111,,,0.55,1164.72,0.58,0%
compra,2024-12-04 09:55:00,7.107,163.8840132936523,4.0,,,,
venda,2024-12-04 11:40:00,7.16,,,0.75,1173.41,1.75,0%
compra,2024-12-04 12:15:00,7.014,167.29534291168383,4.0,,,,
venda,2024-12-04 12:20:00,7.055,,,0.58,1180.27,0.08,0%
compra,2024-12-04 16:30:00,6.953,169.74955332114618,4.0,,,,
venda,2024-12-04 19:15:00,6.989,,,0.52,1186.38,2.75,0%
compra,2024-12-05 01:00:00,6.717,176.62343727281387,4.0,,,,
venda,2024-12-05 02:25:00,6.754,,,0.55,1192.91,1.42,0%
compra,2024-12-05 05:50:00,6.82,174.91417820243177,4.0,,,,
venda,2024-12-05 06:40:00,6.862,,,0.62,1200.26,0.83,0%
compra,2024-12-05 15:20:00,6.899,173.97609665532494,4.0,,,,
venda,2024-12-05 16:00:00,6.949,,,0.72,1208.96,0.67,0%
compra,2024-12-05 22:25:00,6.68,180.98202030806183,4.0,,,,
venda,2024-12-05 22:30:00,6.73,,,0.75,1218.01,0.08,0%
compra,2024-12-05 22:35:00,6.738,180.76714109131137,4.0,,,,
venda,2024-12-05 22:45:00,6.82,,,1.22,1232.83,0.17,0%
compra,2024-12-06 05:15:00,6.92,178.15489916802653,4.0,,,,
