ação,timestamp,preço,btc,score_entrada,lucro_%,capital_atual,tempo_espera_h,alvo_atingido
compra,2024-01-01 01:35:00,42717.52,0.023409598684567833,2.0,,,,
compra,2024-01-01 01:45:00,42698.01,0.023420295231557628,2.0,,,,
compra,2024-01-01 03:40:00,42302.19,0.023639438052734385,2.0,,,,
compra,2024-01-01 03:45:00,42345.55,0.023615232297136298,3.0,,,,
compra,2024-01-01 03:50:00,42316.96,0.023631187117411082,2.0,,,,
compra,2024-01-01 03:55:00,42330.49,0.023623633933838234,3.0,,,,
compra,2024-01-01 04:10:00,42287.5,0.02364765001477978,2.0,,,,
compra,2024-01-01 04:15:00,42269.57,0.02365768092743787,2.0,,,,
compra,2024-01-01 04:20:00,42315.0,0.023632281696797826,2.0,,,,
compra,2024-01-01 05:15:00,42356.0,0.023609405987345358,2.0,,,,
venda,2024-01-01 07:25:00,42487.7,,,0.52,1005.16,3.17,0%
compra,2024-01-01 07:30:00,42495.21,0.02365350000484059,2.0,,,,
venda,2024-01-01 08:10:00,42514.28,,,0.5,1005.01,4.5,0%
venda,2024-01-01 08:10:00,42514.28,,,0.54,1005.36,4.0,0%
compra,2024-01-01 08:35:00,42472.51,0.023670906524487292,2.0,,,,
compra,2024-01-01 08:40:00,42492.91,0.023659542593584475,2.0,,,,
venda,2024-01-01 08:45:00,42531.32,,,0.51,1005.07,4.92,0%
venda,2024-01-01 08:45:00,42531.32,,,0.51,1005.11,4.42,0%
compra,2024-01-01 08:50:00,42544.37,0.023625032764068462,2.0,,,,
venda,2024-01-01 08:50:00,42544.37,,,0.51,1005.05,4.92,0%
compra,2024-01-01 08:55:00,42549.99,0.02362051372575574,3.0,,,,
compra,2024-01-01 09:00:00,42569.48,0.023609699315701515,2.0,,,,
venda,2024-01-01 09:00:00,42569.48,,,0.53,1005.29,5.25,0%
venda,2024-01-01 09:00:00,42569.48,,,0.5,1005.04,3.75,0%
compra,2024-01-01 09:05:00,42548.0,0.023621324997418883,2.0,,,,
compra,2024-01-01 09:10:00,42574.24,0.023606766344864374,3.0,,,,
venda,2024-01-01 09:35:00,42691.52,,,0.52,1010.55,1.0,0%
compra,2024-01-01 09:40:00,42639.02,0.023700051720426028,2.0,,,,
venda,2024-01-01 10:40:00,42712.0,,,0.51,1010.29,3.17,0%
venda,2024-01-01 10:40:00,42712.0,,,0.52,1010.55,2.0,0%
compra,2024-01-01 10:45:00,42723.79,0.023653013537824712,3.0,,,,
compra,2024-01-01 10:50:00,42717.54,0.02365647420842071,2.0,,,,
venda,2024-01-01 12:35:00,42777.76,,,0.55,1010.63,3.75,0%
venda,2024-01-01 12:35:00,42777.76,,,0.54,1010.43,3.67,0%
venda,2024-01-01 12:35:00,42777.76,,,0.54,1010.47,3.5,0%
compra,2024-01-01 12:40:00,42755.76,0.02363347936328545,2.0,,,,
compra,2024-01-01 12:45:00,42713.3,0.023656972690510578,2.0,,,,
compra,2024-01-01 12:50:00,42683.99,0.023673217326252435,2.0,,,,
venda,2024-01-01 15:40:00,42845.96,,,0.65,1011.58,6.67,0%
venda,2024-01-01 15:40:00,42845.96,,,0.64,1011.45,6.5,0%
compra,2024-01-01 15:45:00,42766.01,0.02365089861180421,2.0,,,,
compra,2024-01-01 15:50:00,42787.22,0.023639174654053362,3.0,,,,
venda,2024-01-01 18:00:00,42950.24,,,0.54,1005.45,16.42,0%
venda,2024-01-01 18:00:00,42950.24,,,0.59,1005.91,16.25,0%
venda,2024-01-01 18:00:00,42950.24,,,0.73,1017.92,8.33,0%
venda,2024-01-01 18:00:00,42950.24,,,0.53,1015.9,7.25,0%
venda,2024-01-01 18:00:00,42950.24,,,0.54,1016.05,7.17,0%
venda,2024-01-01 18:00:00,42950.24,,,0.55,1016.07,5.25,0%
venda,2024-01-01 18:00:00,42950.24,,,0.62,1016.77,5.17,0%
compra,2024-01-01 18:05:00,43009.94,0.023640357687890294,3.0,,,,
venda,2024-01-01 18:05:00,43009.94,,,0.59,1016.47,5.42,0%
venda,2024-01-01 18:05:00,43009.94,,,0.57,1017.22,2.33,0%
venda,2024-01-01 18:05:00,43009.94,,,0.52,1016.72,2.25,0%
compra,2024-01-01 18:10:00,43104.16,0.0235875025408303,3.0,,,,
compra,2024-01-01 18:15:00,43091.08,0.023594662364469766,2.0,,,,
compra,2024-01-01 18:20:00,43119.23,0.023579258802171463,3.0,,,,
compra,2024-01-01 18:25:00,43063.05,0.02361002027307299,2.0,,,,
compra,2024-01-01 18:35:00,43089.61,0.023595467295256464,3.0,,,,
compra,2024-01-01 18:40:00,43152.11,0.023561292449438876,3.0,,,,
compra,2024-01-01 18:55:00,43111.1,0.023583705438282854,2.0,,,,
compra,2024-01-01 19:00:00,43146.28,0.023564476092037503,2.0,,,,
compra,2024-01-01 19:05:00,43168.52,0.02355233590404202,2.0,,,,
venda,2024-01-01 19:25:00,43262.01,,,0.59,1022.73,1.33,0%
compra,2024-01-01 19:30:00,43368.0,0.023582581412495085,3.0,,,,
venda,2024-01-01 19:30:00,43368.0,,,0.61,1022.94,1.33,0%
venda,2024-01-01 19:30:00,43368.0,,,0.64,1023.25,1.25,0%
venda,2024-01-01 19:30:00,43368.0,,,0.58,1022.59,1.17,0%
venda,2024-01-01 19:30:00,43368.0,,,0.71,1023.92,1.08,0%
venda,2024-01-01 19:30:00,43368.0,,,0.65,1023.29,0.92,0%
venda,2024-01-01 19:30:00,43368.0,,,0.5,1021.81,0.83,0%
venda,2024-01-01 19:30:00,43368.0,,,0.6,1022.78,0.58,0%
venda,2024-01-01 19:30:00,43368.0,,,0.51,1021.94,0.5,0%
compra,2024-01-01 19:35:00,43395.82,0.02354936948211792,2.0,,,,
venda,2024-01-01 19:35:00,43395.82,,,0.53,1022.07,0.5,0%
compra,2024-01-01 19:45:00,43462.03,0.023516456306144577,3.0,,,,
compra,2024-01-01 19:50:00,43527.84,0.023480901636087268,3.0,,,,
compra,2024-01-01 19:55:00,43517.99,0.023486216377901294,2.0,,,,
compra,2024-01-01 20:00:00,43686.63,0.023395554417251795,3.0,,,,
venda,2024-01-01 20:00:00,43686.63,,,0.73,1030.24,0.5,0%
venda,2024-01-01 20:00:00,43686.63,,,0.67,1028.79,0.42,0%
venda,2024-01-01 20:00:00,43686.63,,,0.52,1027.35,0.25,0%
compra,2024-01-01 20:05:00,43692.54,0.023513275391124085,3.0,,,,
compra,2024-01-01 20:10:00,43643.98,0.02353943718143269,2.0,,,,
compra,2024-01-01 20:15:00,43604.98,0.023560490695276198,2.0,,,,
compra,2024-01-01 20:20:00,43638.71,0.02354227990602162,2.0,,,,
compra,2024-01-01 20:25:00,43699.56,0.023509498163315715,2.0,,,,
compra,2024-01-01 20:40:00,43800.0,0.02345558734150011,3.0,,,,
venda,2024-01-01 20:40:00,43800.0,,,0.63,1028.46,0.83,0%
venda,2024-01-01 20:40:00,43800.0,,,0.65,1028.7,0.75,0%
compra,2024-01-01 20:45:00,43762.0,0.02350661024066717,2.0,,,,
compra,2024-01-01 20:55:00,43687.86,0.023546501873794614,2.0,,,,
compra,2024-01-01 21:00:00,43736.48,0.023520326220859034,2.0,,,,
venda,2024-01-01 23:25:00,43989.99,,,0.69,1029.17,3.42,0%
venda,2024-01-01 23:25:00,43989.99,,,0.68,1034.35,3.33,0%
venda,2024-01-01 23:25:00,43989.99,,,0.79,1035.5,3.25,0%
venda,2024-01-01 23:25:00,43989.99,,,0.88,1036.43,3.17,0%
venda,2024-01-01 23:25:00,43989.99,,,0.8,1035.62,3.08,0%
venda,2024-01-01 23:25:00,43989.99,,,0.66,1034.18,3.0,0%
venda,2024-01-01 23:25:00,43989.99,,,0.52,1034.06,2.67,0%
venda,2024-01-01 23:25:00,43989.99,,,0.69,1035.81,2.5,0%
venda,2024-01-01 23:25:00,43989.99,,,0.58,1034.66,2.42,0%
compra,2024-01-01 23:30:00,44012.95,0.02350805649819716,3.0,,,,
compra,2024-01-01 23:35:00,44100.0,0.023461653407082235,3.0,,,,
venda,2024-01-01 23:35:00,44100.0,,,0.68,1034.39,2.92,0%
compra,2024-01-01 23:40:00,44084.87,0.023463637337711438,2.0,,,,
compra,2024-01-01 23:45:00,44074.01,0.023469418865225897,2.0,,,,
compra,2024-01-01 23:50:00,44129.98,0.02343965262980302,3.0,,,,
compra,2024-01-01 23:55:00,44179.55,0.023413353050453316,2.0,,,,
compra,2024-01-02 00:00:00,44264.63,0.023368350797468653,3.0,,,,
venda,2024-01-02 00:00:00,44264.63,,,0.57,1040.58,0.5,0%
compra,2024-01-02 00:05:00,44398.44,0.023437206868344763,3.0,,,,
venda,2024-01-02 00:05:00,44398.44,,,0.68,1041.66,0.5,0%
venda,2024-01-02 00:05:00,44398.44,,,0.71,1041.75,0.42,0%
venda,2024-01-02 00:05:00,44398.44,,,0.74,1042.01,0.33,0%
venda,2024-01-02 00:05:00,44398.44,,,0.61,1040.68,0.25,0%
compra,2024-01-02 00:10:00,44630.09,0.023317990416446655,3.0,,,,
venda,2024-01-02 00:10:00,44630.09,,,1.02,1044.94,0.25,0%
venda,2024-01-02 00:10:00,44630.09,,,0.83,1042.93,0.17,0%
venda,2024-01-02 00:10:00,44630.09,,,0.52,1046.0,0.08,0%
compra,2024-01-02 00:15:00,44555.89,0.02347623741513961,2.0,,,,
compra,2024-01-02 00:20:00,44751.93,0.023373397569285723,3.0,,,,
compra,2024-01-02 00:25:00,44609.79,0.0234478721348575,2.0,,,,
