ação,timestamp,preço,btc,score_entrada,lucro_%,capital_atual,tempo_espera_h,alvo_atingido
compra,2023-01-01 21:35:00,16603.19,0.06022938965343407,4.0,,,,
venda,2023-01-02 03:50:00,16695.43,,,0.56,1005.56,6.25,0%
compra,2023-01-02 07:10:00,16696.68,0.06022488056916901,4.0,,,,
venda,2023-01-04 03:05:00,16806.03,,,0.65,1012.14,43.92,0%
compra,2023-01-04 03:10:00,16836.8,0.06011481692434854,4.0,,,,
venda,2023-01-04 17:40:00,16921.6,,,0.5,1017.24,14.5,0%
compra,2023-01-04 19:15:00,16899.77,0.060192469250590755,4.0,,,,
venda,2023-01-06 20:05:00,16989.54,,,0.53,1022.64,48.83,0%
compra,2023-01-07 02:55:00,16944.24,0.06035339230509493,4.0,,,,
venda,2023-01-08 23:05:00,17041.13,,,0.57,1028.49,44.17,0%
compra,2023-01-08 23:15:00,17063.51,0.06027423456323596,4.0,,,,
venda,2023-01-09 00:10:00,17168.48,,,0.62,1034.82,0.92,0%
compra,2023-01-09 09:30:00,17239.52,0.060025858644221254,4.0,,,,
venda,2023-01-09 16:40:00,17329.94,,,0.52,1040.24,7.17,0%
compra,2023-01-09 19:05:00,17337.59,0.05999937296664851,4.0,,,,
venda,2023-01-10 18:55:00,17433.95,,,0.56,1046.03,23.83,0%
compra,2023-01-10 23:05:00,17431.87,0.060006532192581855,4.0,,,,
venda,2023-01-11 19:20:00,17536.7,,,0.6,1052.32,20.25,0%
compra,2023-01-11 23:30:00,17989.79,0.058495210511164956,4.0,,,,
venda,2023-01-12 00:55:00,18264.1,,,1.52,1068.36,1.42,0%
compra,2023-01-12 06:00:00,18109.64,0.058994125465606596,5.0,,,,
venda,2023-01-12 10:20:00,18201.73,,,0.51,1073.8,4.33,0%
compra,2023-01-12 17:35:00,18858.21,0.05694045952988622,4.0,,,,
venda,2023-01-12 20:30:00,18962.83,,,0.55,1079.75,2.92,0%
compra,2023-01-13 00:10:00,18832.22,0.05733536748121636,4.0,,,,
venda,2023-01-13 10:00:00,18931.95,,,0.53,1085.47,9.83,0%
compra,2023-01-13 15:00:00,19057.77,0.05695683757260236,4.0,,,,
venda,2023-01-13 15:15:00,19159.29,,,0.53,1091.25,0.25,0%
compra,2023-01-13 21:35:00,19733.27,0.05530013872695121,4.0,,,,
venda,2023-01-13 22:00:00,19840.22,,,0.54,1097.17,0.42,0%
compra,2023-01-14 00:10:00,20256.26,0.054164338252630645,4.0,,,,
venda,2023-01-14 00:25:00,20376.47,,,0.59,1103.68,0.25,0%
compra,2023-01-14 00:35:00,20932.51,0.05272554574079176,4.0,,,,
venda,2023-01-14 14:30:00,21140.96,,,1.0,1114.67,13.92,0%
compra,2023-01-15 00:05:00,20968.65,0.05315881821119856,4.0,,,,
venda,2023-01-16 01:05:00,21131.79,,,0.78,1123.34,25.0,0%
compra,2023-01-16 02:20:00,21380.47,0.05254051866433356,4.0,,,,
venda,2023-01-17 14:20:00,21509.83,,,0.61,1130.14,36.0,0%
compra,2023-01-17 14:40:00,21150.85,0.05343225565788808,4.0,,,,
venda,2023-01-17 14:55:00,21281.66,,,0.62,1137.13,0.25,0%
compra,2023-01-18 14:05:00,21533.57,0.05280717957794506,4.0,,,,
venda,2023-01-20 20:05:00,21904.92,,,1.72,1156.74,54.0,0%
compra,2023-01-20 20:35:00,22183.77,0.05214339330422738,4.0,,,,
venda,2023-01-20 20:50:00,22344.94,,,0.73,1165.14,0.25,0%
compra,2023-01-21 02:40:00,22591.75,0.051573737969805904,4.0,,,,
venda,2023-01-21 08:10:00,22738.78,,,0.65,1172.72,5.5,0%
compra,2023-01-21 09:55:00,23037.49,0.05090501966460161,4.0,,,,
venda,2023-01-21 10:00:00,23214.87,,,0.77,1181.75,0.08,0%
compra,2023-01-21 10:35:00,22841.75,0.05173655319146606,4.0,,,,
venda,2023-01-21 12:05:00,23033.1,,,0.84,1191.65,1.5,0%
compra,2023-01-21 15:25:00,23219.99,0.05132014283013717,4.0,,,,
venda,2023-01-25 21:50:00,23430.45,,,0.91,1202.45,102.42,0%
compra,2023-01-25 22:00:00,23714.27,0.0507059268775462,4.0,,,,
venda,2023-01-29 19:30:00,23895.9,,,0.77,1211.66,93.5,0%
compra,2023-01-29 23:00:00,23822.81,0.050861496107014924,4.0,,,,
venda,2023-02-02 00:40:00,24172.23,,,1.47,1229.44,73.67,0%
compra,2023-02-02 04:15:00,23881.27,0.05148117256925068,4.0,,,,
venda,2023-02-02 18:15:00,24123.85,,,1.02,1241.92,14.0,0%
compra,2023-02-04 12:55:00,23412.84,0.05304457233230646,4.0,,,,
venda,2023-02-04 13:15:00,23578.51,,,0.71,1250.71,0.33,0%
compra,2023-02-04 18:35:00,23427.64,0.05338617031775335,4.0,,,,
venda,2023-02-15 20:10:00,23631.56,,,0.87,1261.6,265.58,0%
compra,2023-02-15 20:30:00,24222.32,0.052084130959966154,4.0,,,,
venda,2023-02-16 00:05:00,24406.7,,,0.76,1271.2,3.58,0%
compra,2023-02-16 00:10:00,24596.33,0.05168257862455927,4.0,,,,
venda,2023-02-16 00:15:00,24803.04,,,0.84,1281.89,0.08,0%
compra,2023-02-16 04:20:00,24675.37,0.0519499835231686,4.0,,,,
venda,2023-02-16 15:45:00,24941.64,,,1.08,1295.72,11.42,0%
compra,2023-02-16 16:00:00,25235.36,0.05134532604412232,4.0,,,,
venda,2023-03-14 12:40:00,25457.68,,,0.88,1307.13,620.67,0%
compra,2023-03-14 13:00:00,26349.64,0.049607238653998006,4.0,,,,
venda,2023-03-17 10:20:00,26510.83,,,0.61,1315.13,69.33,0%
compra,2023-03-17 12:40:00,26543.27,0.049546610900826085,4.0,,,,
venda,2023-03-17 13:00:00,26706.07,,,0.61,1323.2,0.33,0%
compra,2023-03-17 13:35:00,26584.2,0.049773747525982515,4.0,,,,
venda,2023-03-17 19:10:00,26763.75,,,0.68,1332.13,5.58,0%
compra,2023-03-17 21:40:00,27161.39,0.04904506490089478,4.0,,,,
venda,2023-03-17 22:20:00,27299.23,,,0.51,1338.89,0.67,0%
compra,2023-03-17 22:35:00,27654.66,0.04841471589578226,4.0,,,,
venda,2023-03-19 16:30:00,27830.76,,,0.64,1347.42,41.92,0%
compra,2023-03-19 20:40:00,27884.47,0.048321461321075884,4.0,,,,
venda,2023-03-19 21:00:00,28025.46,,,0.51,1354.23,0.33,0%
compra,2023-03-19 22:00:00,28025.6,0.04832121993446561,4.0,,,,
venda,2023-03-19 23:15:00,28224.39,,,0.71,1363.84,1.25,0%
compra,2023-03-19 23:55:00,27972.87,0.04875570353367859,4.0,,,,
venda,2023-03-20 07:40:00,28149.14,,,0.63,1372.43,7.75,0%
compra,2023-03-20 23:20:00,27823.55,0.049326240705014755,4.0,,,,
