ação,timestamp,preço,btc,lucro_%,capital_atual,tempo_espera_h,alvo_atingido
compra,2024-01-01 03:40:00,42302.19,0.023639438052734385,,,,
venda,2024-01-01 18:40:00,43152.11,,2.01,1020.09,15.0,2%
compra,2024-01-02 11:40:00,45245.99,0.022545459413967513,,,,
venda,2024-01-08 18:35:00,46638.08,,3.08,1051.48,150.92,2%
compra,2024-01-09 00:35:00,46334.88,0.02269298938047039,,,,
venda,2024-01-09 21:10:00,47918.36,,3.42,1087.41,20.58,2%
compra,2024-01-10 07:50:00,45768.0,0.023759194953014273,,,,
venda,2024-01-10 22:50:00,46925.0,,2.53,1114.9,15.0,2%
compra,2024-01-11 05:35:00,46105.26,0.024181627501291495,,,,
venda,2024-01-11 11:20:00,47127.99,,2.22,1139.63,5.75,2%
compra,2024-01-12 15:15:00,44986.45,0.025332772402903332,,,,
venda,2024-02-09 02:40:00,45955.59,,2.15,1164.18,659.42,2%
compra,2024-02-10 07:55:00,47151.72,0.024690138601754938,,,,
venda,2024-02-11 03:30:00,48181.09,,2.18,1189.6,19.58,2%
compra,2024-02-11 14:10:00,47975.99,0.02479569030432991,,,,
venda,2024-02-12 15:05:00,48972.0,,2.08,1214.29,24.92,2%
compra,2024-02-13 11:10:00,49716.68,0.02442428870116919,,,,
venda,2024-02-14 08:55:00,50758.0,,2.09,1239.73,21.75,2%
compra,2024-02-15 05:50:00,51865.11,0.02390292907686778,,,,
venda,2024-02-26 16:05:00,53423.29,,3.0,1276.97,274.25,2%
compra,2024-02-29 16:40:00,61855.88,0.020644328589665847,,,,
venda,2024-03-03 22:20:00,63165.98,,2.12,1304.02,77.67,2%
compra,2024-03-05 05:00:00,66310.0,0.019665499122428914,,,,
venda,2024-03-05 13:05:00,67661.58,,2.04,1330.6,8.08,2%
compra,2024-03-05 16:05:00,65852.83,0.020205642523064744,,,,
venda,2024-03-06 08:10:00,67301.3,,2.2,1359.87,16.08,2%
compra,2024-03-06 12:45:00,65460.0,0.020773999528529444,,,,
venda,2024-03-06 14:00:00,66841.05,,2.11,1388.56,1.25,2%
compra,2024-03-10 14:40:00,68888.69,0.020156515404581115,,,,
venda,2024-03-11 07:10:00,70447.12,,2.26,1419.97,16.5,2%
compra,2024-03-12 03:20:00,71751.25,0.019790156401294393,,,,
venda,2024-03-13 08:10:00,73190.02,,2.01,1448.44,28.83,2%
compra,2024-03-13 12:35:00,72504.02,0.019977401843564876,,,,
venda,2024-11-06 03:05:00,74238.0,,2.39,1483.08,5702.5,2%
compra,2024-11-06 08:00:00,72917.99,0.020339046071656243,,,,
venda,2024-11-06 11:30:00,74421.42,,2.06,1513.66,3.5,2%
compra,2024-11-07 00:30:00,75142.52,0.02014386382168284,,,,
venda,2024-11-07 20:15:00,76727.27,,2.11,1545.58,19.75,2%
compra,2024-11-07 22:15:00,75633.99,0.020435040889545706,,,,
venda,2024-11-10 02:15:00,77160.71,,2.02,1576.78,52.0,2%
compra,2024-11-10 20:05:00,79469.6,0.019841326292272494,,,,
venda,2024-11-10 22:20:00,81263.77,,2.26,1612.38,2.25,2%
compra,2024-11-11 05:35:00,80726.99,0.019973257720994984,,,,
venda,2024-11-11 14:35:00,82379.99,,2.05,1645.4,9.0,2%
compra,2024-11-12 02:50:00,86950.0,0.018923482131374236,,,,
venda,2024-11-12 04:30:00,88698.0,,2.01,1678.48,1.67,2%
compra,2024-11-12 09:45:00,87681.6,0.019142842034002936,,,,
venda,2024-11-12 19:25:00,89448.01,,2.01,1712.29,9.67,2%
compra,2024-11-12 22:05:00,87780.0,0.019506597467372006,,,,
venda,2024-11-13 13:45:00,89678.9,,2.16,1749.33,15.67,2%
compra,2024-11-13 19:15:00,90259.99,0.0193810148174923,,,,
venda,2024-11-18 09:20:00,92075.99,,2.01,1784.53,110.08,2%
compra,2024-11-18 11:10:00,91134.72,0.019581188448543795,,,,
venda,2024-11-19 17:30:00,93068.0,,2.12,1822.38,30.33,2%
compra,2024-11-21 14:35:00,96600.01,0.01886523662398248,,,,
venda,2024-11-21 19:10:00,98789.52,,2.27,1863.69,4.58,2%
compra,2024-11-22 13:15:00,97993.95,0.019018395225109817,,,,
venda,2024-12-05 02:40:00,101312.02,,3.39,1926.79,301.42,2%
compra,2024-12-05 15:35:00,101625.99,0.018959638547326626,,,,
venda,2024-12-15 23:15:00,103995.99,,2.33,1971.73,247.67,2%
compra,2024-12-16 11:40:00,104103.44,0.01894006942298347,,,,
venda,2024-12-16 15:15:00,106296.0,,2.11,2013.25,3.58,2%
compra,2024-12-17 12:10:00,106583.38,0.018889001450183424,,,,
venda,2025-01-20 07:10:00,108975.42,,2.24,2058.44,811.0,2%
compra,2025-01-20 12:15:00,106060.2,0.01940819333184689,,,,
