tipo_trade,entry_time,exit_time,entry_price,exit_price,pontos,lucro_usd,capital,motivo_saida,fvg_origem
venda,2024-01-17 11:25:00,2024-08-14 19:25:00,1.0875,1.1025,-150.0,-150.0,9850.0,Stop Loss,1.0878
venda,2024-08-14 23:00:00,2024-08-24 00:30:00,1.1024,1.11829,-158.9,-158.9,9691.1,Stop Loss,1.0878
venda,2024-08-30 11:55:00,2024-11-06 23:40:00,1.1072,1.06884,383.6,383.6,10074.7,Take Profit,1.0878
compra,2024-11-08 05:45:00,2024-11-12 00:15:00,1.07989,1.06429,-156.0,-156.0,9918.7,Stop Loss,1.0878
compra,2024-11-12 05:45:00,2024-11-22 03:15:00,1.06498,1.04845,-165.3,-165.3,9753.4,Stop Loss,1.0878
compra,2024-11-22 05:10:00,2024-12-03 09:35:00,1.0487,1.0,-487.0,-487.0,9266.4,Stop Loss,1.0878
compra,2024-12-03 11:55:00,2025-01-03 00:00:00,1.04912,1.0318,-173.2,-173.2,9093.2,Stop Loss,1.0878
compra,2025-01-04 02:45:00,2025-03-05 18:50:00,1.02863,1.06674,381.1,381.1,9474.3,Take Profit,1.0878
